City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
332,Sibolga,ID,1.7427,98.7792,75.4,84,79,3.6,broken clouds
333,Necochea,AR,-38.5473,-58.7368,55.08,59,100,14.5,overcast clouds
334,Nome,US,64.5011,-165.4064,48.27,93,100,12.66,overcast clouds
335,Jardim,BR,-21.4803,-56.1381,65.84,46,0,9.1,clear sky
336,Togur,RU,58.3631,82.8265,60.67,95,13,6.02,few clouds
337,Saint-Augustin,CA,51.226,-58.6502,66.85,47,0,10.92,clear sky
338,Grindavik,IS,63.8424,-22.4338,50.47,87,75,13.8,broken clouds
339,Vestmannaeyjar,IS,63.4427,-20.2734,52.79,82,0,13.8,clear sky
340,Sassandra,CI,4.95,-6.0833,74.53,84,72,8.59,broken clouds
341,Chaihe,CN,44.7667,129.7,57.92,86,100,6.26,overcast clouds
342,Portland,US,45.5234,-122.6762,71.53,71,100,7.0,overcast clouds
343,Valdosta,US,30.8327,-83.2785,93.9,61,0,5.75,clear sky
344,Sistranda,NO,63.7256,8.834,60.76,83,100,44.94,light rain
345,Marrakesh,MA,31.6315,-8.0083,93.27,31,0,6.91,clear sky
346,Seoul,KR,37.5683,126.9778,74.59,100,100,4.61,light rain
